Country,Year,Area,Value,Population,GDP
Albania,2021,Total,3113.0,2811666.0,6281.05
Albania,2020,Total,4267.0,2837849.0,5288.99
Albania,2019,Total,5860.0,2854191.0,5359.24
Albania,2018,Total,4846.0,2866376.0,5268.12
Albania,2017,Total,4508.0,2873457.0,4521.75
Albania,2016,Total,4345.0,2876101.0,4117.01
Albania,2015,Total,3761.0,2880703.0,3950.39
Albania,2014,Total,4240.0,2889104.0,4586.61
Albania,2013,Total,3747.0,2895092.0,4425.43
Albania,2012,Total,3561.0,2900401.0,4259.67
Albania,2011,Total,3642.0,2905195.0,4444.13
Albania,2010,Total,3478.0,2913021.0,4093.83
Albania,2009,Total,3606.0,2927519.0,4109.89
Albania,2008,Total,3610.0,2947314.0,4364.06
Albania,2007,Total,3305.0,2970017.0,3587.71
Albania,2006,Total,4075.0,2992547.0,2962.01
Albania,2005,Total,3929.0,3011487.0,2655.14
Albania,2004,Total,2968.0,3026939.0,2343.43
Albania,2003,Total,3634.0,3039616.0,1798.08
Albania,2002,Total,3494.0,3051010.0,1394.52
Albania,2001,Total,2462.0,3060173.0,1245.2
Albania,2000,Total,2168.0,3089027.0,1096.03
Albania,1999,Total,2114.0,3108778.0,1004.18
Albania,1998,Total,2005.0,3128530.0,790.45
Albania,1997,Total,1430.0,3148281.0,683.73
Albania,1996,Total,1901.0,3168033.0,978.09
Albania,1995,Total,2331.0,3187784.0,728.53
Albania,1994,Total,2108.0,3207536.0,571.02
Albania,1993,Total,2251.0,3227287.0,515.17
Albania,1992,Total,2480.0,3247039.0,458.91
Albania,1991,Total,2236.0,3266790.0,483.68
Albania,1991,Urban,1610.0,3266790.0,483.68
Albania,1991,Rural,626.0,3266790.0,483.68
Albania,1990,Total,2675.0,3286542.0,651.2
Albania,1990,Urban,1832.0,3286542.0,651.2
Albania,1990,Rural,843.0,3286542.0,651.2
Albania,1989,Total,2628.0,3227943.0,895.92
Albania,1989,Urban,1782.0,3227943.0,895.92
Albania,1989,Rural,846.0,3227943.0,895.92
Albania,1988,Total,2597.0,3142336.0,754.03
Albania,1988,Urban,1719.0,3142336.0,754.03
Albania,1988,Rural,878.0,3142336.0,754.03
Albania,1987,Total,2537.0,3083605.0,734.54
Albania,1987,Urban,1649.0,3083605.0,734.54
Albania,1987,Rural,888.0,3083605.0,734.54
Albania,1986,Total,2383.0,3022635.0,747.42
